time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12987760.0,-0.02,0.09,-1.02,0.18,1.89,0.43,86.42,136.83,-27.61,0.0199,0.5212,0.8521,0.0432,32.28
12987772.0,0.01,0.09,-1.01,0.12,2.01,0.49,85.37,136.38,-26.56,0.0199,0.5213,0.8521,0.0432,32.05
12987784.0,0.02,0.1,-0.98,0.12,1.77,0.49,85.07,137.13,-28.66,0.0199,0.5213,0.8521,0.0431,31.81
12987796.0,0.01,0.11,-0.97,19.88,82.01,520.79,85.97,136.53,-28.81,0.0199,0.5213,0.852,0.0431,32.2
12987808.0,-0.02,0.1,-1.01,0.12,0.73,0.3,85.82,135.63,-28.06,0.0199,0.5213,0.852,0.0431,32.32
12987820.0,-0.06,0.1,-0.99,0.18,0.67,0.3,87.17,137.13,-28.66,0.0198,0.5214,0.852,0.0431,32.44
12987832.0,-0.08,0.1,-1.02,0.3,0.91,0.43,85.37,136.08,-28.66,0.0198,0.5214,0.852,0.0431,32.1
12987844.0,-0.07,0.1,-1.02,0.18,1.4,0.37,87.17,137.13,-28.06,0.0198,0.5214,0.852,0.0431,32.44
12987856.0,-0.03,0.1,-1.03,1092.8,1406.89,1493.48,86.42,137.43,-29.11,0.0199,0.5214,0.852,0.0431,32.16
12987868.0,0.02,0.1,-0.98,0.12,1.83,0.43,87.62,135.63,-29.11,0.0199,0.5215,0.8519,0.0431,32.86
12987880.0,0.02,0.1,-0.97,0.0,1.59,0.43,86.72,136.23,-29.26,0.0199,0.5215,0.8519,0.0431,32.48
12987892.0,0.0,0.1,-0.98,0.06,1.04,0.37,86.27,137.73,-29.26,0.02,0.5215,0.8519,0.0431,32.06
12987904.0,-0.02,0.1,-0.98,0.0,0.67,0.3,84.92,136.53,-28.51,0.02,0.5216,0.8519,0.0431,31.88
12987916.0,-0.05,0.1,-1.0,1084.7,626.4,1526.28,85.82,137.88,-29.71,0.0199,0.5216,0.8519,0.0431,31.9
12987928.0,-0.05,0.1,-1.02,0.24,1.34,0.24,87.17,136.08,-29.11,0.0199,0.5216,0.8519,0.0432,32.64
